Date,Author,Title (Item),Periodical Title,Language 1,Author Country 1,Author Country 2,Publisher,city,country,Pub Location,Genre,ISBN,Number of Pages,Original Publication Date,Original Pub Language,Original Language Title,Original Language Publisher,Translator Name,Cover Photo URL,Wikipedia URL
1944,"Aarons, R. L. C.",The Cow That Laughed - And Other Stories,,English,United States,,Printed by Printers Ltd.,Kingston,Jamaica,"Kingston, Jamaica",Anthology,,93,1944,,,,,https://collections.carli.illinois.edu/digital/api/singleitem/image/uic_car/1341/default.jpg,NA
1999,"Abad, Mercedes",Cuentos Eróticos De Navidad,,Spanish,Spain,,Tusquets Editores S.A.,Barcelona,Spain,"Barcelona, Spain",Anthology,978-84-8310-662-4,206,1999,,,,,https://images.cdn1.buscalibre.com/fit-in/360x360/e1/d7/e1d72fe6e2db0c8d72a25d913dd685fc.jpg,https://es.wikipedia.org/wiki/Mercedes_Abad
1966,"Abrahams, Peter",This Island Now,,English,United States,,Faber and Faber,London,England,"London, England",Fiction (Novel),978-0-571-06825-8,264,1966,,,,,https://images-na.ssl-images-amazon.com/images/I/81WFV0bAHkL.jpg,https://en.wikipedia.org/wiki/Peter_Abrahams
2021,"Acevedo, Elizabeth",With the Fire On High,,English,United States,,Hot Key Books Ltd,Chichester,England,"Chichester, West Sussex, England",Fiction (Novel),978-0-06-266284-2,13,2019,,,,,https://images-na.ssl-images-amazon.com/images/I/81eO1uJkpuL.jpg,https://en.wikipedia.org/wiki/With_the_Fire_on_High
2020,"Adam, Claire",The Golden Child,,English,Trinidad & Tobago,,Hogarth Press,Richmond,London,"Richmond, Londonland",Fiction (Novel),978-0-525-57300-5,289,2019,,,,,https://images-na.ssl-images-amazon.com/images/I/71pJcCrkOuL.jpg,https://en.wikipedia.org/wiki/Golden_Child_(novel)
1997,"Adisa, Opal Palmer",It Begins With Tears,,English,Jamaica,,Heinemann,Oxford,England,"Oxford, England",Fiction (Novel),978-0-435-98946-0,256,1997,,,,,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4359/9780435989460.jpg,https://en.wikipedia.org/wiki/Opal_Palmer_Adisa
2016,"Agnant, Marie Célie",Le Livre D'Emma,,Spanish,Haiti,,Edicions Tres i Quatre,Valencia,Spain,"Valencia, Spain",Fiction (Novel),978-2890911864,107,2001,French,Le livre d'Emma : roman,Éditions du Remue-ménage,"Montero, Anna",https://m.media-amazon.com/images/I/510QO9lbPaL.jpg,https://en.wikipedia.org/wiki/Marie-Célie_Agnant
2018,"Agnant, Marie-Célie",L'Oranger Magique,,French,Haiti,,CareOf Publishing,Paris,France,"Paris, France",Fiction (Novel),978-2-89540-138-4,39,2003,,,,,https://m.media-amazon.com/images/I/51GvpvzRKeL.jpg,https://en.wikipedia.org/wiki/Marie-Célie_Agnant
2019,"Agnant, Marie-Célie",Un Petit Bonheur Tout Rond,,French,Haiti,,Bouton d'or Acadie,Moncton,Canada,"Moncton, Canada",Fiction (Novel),9782897501501,36,2019,,,,,https://m.media-amazon.com/images/I/51wvAqEVmGS._SX260_.jpg,https://en.wikipedia.org/wiki/Marie-Célie_Agnant
2021,"Agnant, Marie-Célie",Le Noël De Maïté,,French,Haiti,,CareOf Publishing,Paris,France,"Paris, France",Fiction (Novel),979-10-96291-04-5,76,1999,,,,,https://m.media-amazon.com/images/I/414OAAnKf+L.jpg,https://en.wikipedia.org/wiki/Marie-Célie_Agnant
2020,"Agnant, Marie-Célie",Silence Like Blood,,English,Haiti,,"Massachusetts Review, Inc.","Amherst, MA",United States,"Amherst, MA, United States",Fiction (Novella),9782890911970,52,1997,French,Le silence comme le sang : nouvelles,Éditions du Remue-ménage,"Fulton, Dawn",https://images-na.ssl-images-amazon.com/images/I/51fHjEcOLbL._SX342_SY445_QL70_ML2_.jpg,https://en.wikipedia.org/wiki/Marie-Célie_Agnant
1939,"Aguero, Jose de la Riva; Angell, James Rowland; Blackiston, A. Hooton; Brown, Elsie; Corbett, Margaret A; D'Emery, Charles; De Alba, Pedro; Erlanson, Carl O; James, Stephen; Kelbaugh, Paul R; Lenroot, Katharine F; Newhall, Beatrice; Rice, James E; Rowe, L. S; Samper Ortega, Daniel; Sanders, William; Smith, Robert C; Sylvain, Madeleine G; Te Velde, Johan C; Tercero, Jose; Walmsley, W. N; Weddell, Alexander Wilbourne; Wilgus, A. Curtis, Zier, Julian G;",Bulletin Of The Pan American Union. Volume LXXIII,,English,Peru,United States,United States Congressional Serial Set,"Washington, DC",United States,"Washington, DC, United States",NA,,862,1939,,,,,https://archive.org/services/img/sim_bulletin-of-the-pan-american-union_1905-02_19_2,https://en.wikipedia.org/wiki/José_de_la_Riva-Agüero_y_Osma; https://en.wikipedia.org/wiki/James_Rowland_Angell
1969,"Aguero, Luis; Alfonso, Domingo; Alonso, Dora; Arenas, Reinaldo; Barnet, Miguel; Fernandez, Pablo A. ; Rojo, Antonio Benitez; Buzzi, David; Carpentier, Alejo; Desnoes, Edmundo; Díaz, Jesús; Retamar, Roberto Fernández; Fuentes, Jose Lorenzo; Fuentes, Norberto; Guillén, Nicolás",Cronicas De Cuba,,Spanish,Venezuela,Cuba,Editorial Jorge Álvarez,Buenos Aires,Argentina,"Buenos Aires, Argentina",Anthology,978-84-16251-82-7,248,1969,,,,,https://images-na.ssl-images-amazon.com/images/I/91oQRhkSmeL.jpg,https://es.wikipedia.org/wiki/Domingo_Alfonso; https://en.wikipedia.org/wiki/Dora_Alonso
1969,"Aguero, Luis; Alfonso, Domingo; Alonso, Dora; Arenas, Reinaldo; Barnet, Miguel; Fernandez, Pablo A. ; Rojo, Antonio Benitez; Buzzi, David; Carpentier, Alejo; Desnoes, Edmundo; Díaz, Jesús; Retamar, Roberto Fernández; Fuentes, Jose Lorenzo; Fuentes, Norberto; Guillén, Nicolás",Cronicas De Cuba,,Spanish,Venezuela,Cuba,Editorial Jorge Álvarez,Buenos Aires,Argentina,"Buenos Aires, Argentina",Anthology,978-84-16251-82-8,248,1969,,,,,https://images-na.ssl-images-amazon.com/images/I/91oQRhkSmeL.jpg,https://es.wikipedia.org/wiki/Domingo_Alfonso; https://en.wikipedia.org/wiki/Dora_Alonso
1969,"Aguero, Luis; Alfonso, Domingo; Alonso, Dora; Arenas, Reinaldo; Barnet, Miguel; Fernandez, Pablo A. ; Rojo, Antonio Benitez; Buzzi, David; Carpentier, Alejo; Desnoes, Edmundo; Díaz, Jesús; Retamar, Roberto Fernández; Fuentes, Jose Lorenzo; Fuentes, Norberto; Guillén, Nicolás",Cronicas De Cuba,,Spanish,Venezuela,Cuba,Editorial Jorge Álvarez,Buenos Aires,Argentina,"Buenos Aires, Argentina",Anthology,978-84-16251-82-9,248,1969,,,,,https://images-na.ssl-images-amazon.com/images/I/91oQRhkSmeL.jpg,https://es.wikipedia.org/wiki/Domingo_Alfonso; https://en.wikipedia.org/wiki/Dora_Alonso
2005,"Alexander-Perez, Brenda",The Excursion,,English,United States,,Brenda Alexander-Perez,Scarborough,Canada,"Scarborough, Canada",Fiction (Novella),NA,120,2005,,,,,NA,NA
2009,"Alexandre, Alfred; Armet, Auguste; Arsaye, Jean-Pierre; L'Etang, Gerry",Drive: L'errance Ensorcelée,,French,Martinique,Martinique,HC Éditions,Paris,France,"Paris, France",Anthology,978-2357200296,186,2009,,,,,https://images-na.ssl-images-amazon.com/images/I/61iYjbXAhWL.jpg,https://ht.wikipedia.org/wiki/Jean-Pierre_Arsaye
1927,"Alix, Juan Antonio",Décimas,,Spanish,Dominican Republic,,"Impr. de J.R. vda. García, sucesores",Santo Domingo,Dominican Republic,"Santo Domingo, Dominican Republic",Poetry Collection,979-8554512315,215,1927,,,,,NA,NA
1927,"Alix, Juan Antonio",Décimas,,Spanish,Dominican Republic,,"Impr. de J.R. vda. García, sucesores",Santo Domingo,Dominican Republic,"Santo Domingo, Dominican Republic",Poetry Collection,979-8554512316,215,1927,,,,,NA,NA
